"Goromonzi West Constituency, the results are as follows:",Batsirai,M,MDC-Alliance Party,6691
"Goromonzi West Constituency, the results are as follows:",Tizora Lewis,M,Coalition  Democrats,99
,,RESULTS OF POLL,,
,,,,
,In respect of,"Marondera Central Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party  Votes Received,,
"Marondera Central Constituency, the results are as follows:",Chasesa Fred,M,People’s Rainbow Coalition.,288
"Marondera Central Constituency, the results are as follows:",Kundiona Cleopas,M,ZANU PF,8386
"Marondera Central Constituency, the results are as follows:",Makayi Onias,M,Zimbabwe Partnership for Prosperity.,71
"Marondera Central Constituency, the results are as follows:",Makaza Solomon,M,Freezim Congress,34
"Marondera Central Constituency, the results are as follows:",Makombe Francis,M,MDC T,840
"Marondera Central Constituency, the results are as follows:",Matewu Caston,M,MDC-Alliance Party,14604
"Marondera Central Constituency, the results are as follows:",Munuhwa Chipo Contilda,F,Independent.,189
"Marondera Central Constituency, the results are as follows:",Nyika Kingdom,M,Independent.,57
,,RESULTS OF POLL,,
,,,,
,In respect of,"Marondera East Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party  Votes Received,,
"Marondera East Constituency, the results are as follows:",Chakaingesu,,,4604
"Marondera East Constituency, the results are as follows:",Musekiwa,M,MDC-Alliance,
"Marondera East Constituency, the results are as follows:",Chidakwa Patrick,M,ZANU PF,18365
"Marondera East Constituency, the results are as follows:",,,Zimbabwe,187
"Marondera East Constituency, the results are as follows:",Mandaza Moses,M,Labour Party,
,,RESULTS OF POLL,,
,,,,
,In respect of,"Marondera West Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party Votes Received,,
"Marondera West Constituency, the results are as follows:",Kunaka Marceline,F,Zimbabwe Partnership for Prosperity,597
"Marondera West Constituency, the results are as follows:",Maisvoreva Amon,M,MDC Alliance,5400
"Marondera West Constituency, the results are as follows:",,,,
"Marondera West Constituency, the results are as follows:",Mari Adam,M,People’s Rainbow Coalition,69
"Marondera West Constituency, the results are as follows:",Mavunga Richard Godfrey,M,Independent,559
"Marondera West Constituency, the results are as follows:",Mdokwani Chivero Stanley,M,Independent,90
"Marondera West Constituency, the results are as follows:",Muchetwa Macdonald,M,MDC T,368
"Marondera West Constituency, the results are as follows:",Mukunyaidze Spiwe Elizabeth I,F,ZANU PF,7619
,,RESULTS OF POLL,,
,,,,
,In respect of,"Murewa North Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party  Votes Received,,
"Murewa North Constituency, the results are as follows:",,,Build Zimbabwe,544
"Murewa North Constituency, the results are as follows:",Chiroto Emmanuel,M,Alliance,
"Murewa North Constituency, the results are as follows:",Garwe Daniel,M,ZANU PF,16781
"Murewa North Constituency, the results are as follows:",Muchenje Desire,M,NCA,153
"Murewa North Constituency, the results are as follows:",Mutize Golden,M,MDC-Alliance,4910
,,RESULTS OF POLL,,
,,,,
,In respect of,"Murewa South Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party  Votes Received,,
"Murewa South Constituency, the results are as follows:",Chawora Jeremy Jonathan,M,MDC-Alliance,1821
"Murewa South Constituency, the results are as follows:",Chodewa Tukisai,M,NCA,129
"Murewa South Constituency, the results are as follows:",Mangondo Noah Takawota Joni,M,Independent,10653
"Murewa South Constituency, the results are as follows:",Matiza Biggie Joel,M,ZANU PF,10808
"Murewa South Constituency, the results are as follows:",Mupanguri Musatye,M,ZAPU,81
"Murewa South Constituency, the results are as follows:",Muparadzi Blessed,M,Peoples’ Rainbow Coalition,50
,,RESULTS OF POLL,,
,,,,
,In respect of,"Murewa West Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex,Party,VotesReceived
"Murewa West Constituency, the results are as follows:",Chinhiwu Thompson,M,NCA,313
"Murewa West Constituency, the results are as follows:",,,,
"Murewa West Constituency, the results are as follows:",Chirumiko Emanuel,M,MDC T,2020
"Murewa West Constituency, the results are as follows:",,,,
"Murewa West Constituency, the results are as follows:",Jiji Tafirenyika Farai,M,Independent,166
"Murewa West Constituency, the results are as follows:",Magaso Peter,M,People’s Rainbow Coalition,188
"Murewa West Constituency, the results are as follows:",Mudzipuri Taurai,M,FreeZim Congress,91
"Murewa West Constituency, the results are as follows:",Mukurazhizha Lesley Manika,M,MDC Alliance,6216
"Murewa West Constituency, the results are as follows:",Nezi Ward,M,Coalition of Democrats,75
"Murewa West Constituency, the results are as follows:",Nhamburo Silence,M,National Patriotic Front,100
"Murewa West Constituency, the results are as follows:",Sewera Jonah Nyikadzino,M,ZANU PF,12982
,,RESULTS OF POLL,,
,,,,
,In respect of,"Mutoko East Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party  Votes Received,,
"Mutoko East Constituency, the results are as follows:",Musiyiwa Richard,M,ZANU PF,15109
"Mutoko East Constituency, the results are as follows:",Samakande Abel,M,MDC-Alliance,2189
,,RESULTS OF POLL,,
,,,,
,In respect of,"Mutoko North Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party  Votes Received,,
"Mutoko North Constituency, the results are as follows:",Chinomona Mabel,,,16902
"Mutoko North Constituency, the results are as follows:",Memory,F,ZANU PF,
"Mutoko North Constituency, the results are as follows:",Kativhu Shamh,M,Free Zim Congress,262
"Mutoko North Constituency, the results are as follows:",Mushore Boniface,M,MDC-Alliance,3151
,,RESULTS OF POLL,,
,,,,
,In respect of,"Mutoko South Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party  Votes Received,,
"Mutoko South Constituency, the results are as follows:",Chifeva Rangarirai Joel,M,NCA,223
"Mutoko South Constituency, the results are as follows:",Mapengo Mapango,M,MDC-Alliance,2839
"Mutoko South Constituency, the results are as follows:",Mburundu Beaullah,F,MDC-T,265
"Mutoko South Constituency, the results are as follows:",Shumbamhini Hebert,M,ZANU PF,20283
,,,,
,,RESULTS OF POLL,,
,,,,
,In respect of,"Mudzi West Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party  Votes Received,,
"Mudzi West Constituency, the results are as follows:",Mudyiwa Magna,F,ZANU PF,14289
"Mudzi West Constituency, the results are as follows:",Mutereko Gift,,,1147
"Mudzi West Constituency, the results are as follows:",Danai,M,MDC-Alliance,
,,RESULTS OF POLL,,
,,,,
,In respect of,"Seke Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party,Votes Received,
"Seke Constituency, the results are as follows:",Chikwanha Kudakwashe,,,578
"Seke Constituency, the results are as follows:",Lawrence,M,Independent.,
"Seke Constituency, the results are as follows:",,,United African National,729
"Seke Constituency, the results are as follows:",Gandiwa Christopher,M,Council.,
"Seke Constituency, the results are as follows:",Gava Leah Hazviperi,F,Coalition of Democrats,199
"Seke Constituency, the results are as follows:",Gunguwo Rairo Chengetai,F,Independent.,346
"Seke Constituency, the results are as follows:",,,Zimbabwe Partnership for,505
"Seke Constituency, the results are as follows:",Kaseke Charles,M,Prosperity.,
"Seke Constituency, the results are as follows:",Kashambe Munyaradzi,,,18050
"Seke Constituency, the results are as follows:",Tobias,M,ZANU PF,
"Seke Constituency, the results are as follows:",Kunaka Tawineyi,M,MDC-Alliance.,16369
"Seke Constituency, the results are as follows:",Mabika Silas,M,NCA,189
"Seke Constituency, the results are as follows:",Marembo Almighty,M,People’s Rainbow Coalition,291
,,RESULTS OF POLL,,
,,,,
,In respect of,"Maramba Pfungwe Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party  Votes Received,,
"Maramba Pfungwe Constituency, the results are as follows:",Chakwiza Admire,M,MDC-Alliance,929
"Maramba Pfungwe Constituency, the results are as follows:",Karumazondo,M,ZANU PF,24317
"Maramba Pfungwe Constituency, the results are as follows:",Makuwi Tichawona,,,
"Maramba Pfungwe Constituency, the results are as follows:",Makope Tonderai,M,Coalition of Democrats,75
"Maramba Pfungwe Constituency, the results are as follows:",Sandi Wellington.,M,People’s Rainbow Coalition,83
,,RESULTS OF POLL,,
,,,,
,In respect of,"Wedza North Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party  Votes Received,,
"Wedza North Constituency, the results are as follows:",,,Forces of Liberation Organization,303
"Wedza North Constituency, the results are as follows:",Dzinemunhenzva Egypt,M,of African National,
"Wedza North Constituency, the results are as follows:",Makara Tichaona,M,MDC-Alliance Party,3187
"Wedza North Constituency, the results are as follows:",Musabayana David,M,ZANU PF,13785
,,RESULTS OF POLL,,
,,,,
,In respect of,"Wedza South Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex,Party  Votes Received,
"Wedza South Constituency, the results are as follows:",Archibald Royc,M,People’s Rainbow coalition,272
"Wedza South Constituency, the results are as follows:",Gukwe Phanuel,M,MDC Alliance,2101
"Wedza South Constituency, the results are as follows:",Machakarika Tinoda,M,ZANU PF,9525
,,RESULTS OF POLL,,
,,,,
,In respect of,"Uzumba Constituency, the results are as follows:",,
,,,,
Constituency,Name of Candidate,Sex Party  Votes Received,,
"Uzumba Constituency, the results are as follows:",Kazingizi Peckson,M,MDC-Alliance,1850
"Uzumba Constituency, the results are as follows:",Mudarikwa,M,ZANU PF,21405
"Uzumba Constituency, the results are as follows:",Simbaneuta,,,
