,,RESULTS OF POLL,,,,,,
In respect of,"Murewa West Constituency, the results are as follows:",,,,,,,
Name of Candidate,,Sex,Party,,,,Votes Received,
Chinhiwu Thompson,,M,NCA,,,,,313
Chirumiko Emanuel,,M,MDC T,,,,,2020
Jiji Tafirenyika Farai,,M,Independent,,,,,166
Magaso Peter,,M,People’s Rainbow Coalition,,,,,188
Mudzipuri Taurai,,M,FreeZim Congress,,,,,91
Mukurazhizha Lesley Manika,,M,MDC Alliance,,,,,6216
Nezi Ward,,M,Coalition of Democrats,,,,,75
Nhamburo Silence,,M,National Patriotic Front,,,,,100
Sewera Jonah Nyikadzino,,M,ZANU PF,,,,,12 982
Zamadura Solomon,,M,Independent,,,,,81
"Accordingly,",Sewera,Jonah,Nyikadzino,of,ZANU,PF,"Party,",is hereby
declared duly,elected,Member of the National,,,Assembly,,for Murewa West,
Constituency.,,,,,,,,

ZIMBABWE ELECTORAL COMMISSION,,,
National Assembly Election 2018,,,
RESULTS OF POLL,,,
"In respect of Mutoko East Constituency, the results are as follows:",,,
Name of Candidate Sex Party Votes Received,,,
Musiyiwa Richard,M,ZANU PF,15 109
Samakande Abel,M,MDC-Alliance,2 189
"Accordingly, Musiyiwa Richard of ZANU PF Party, has been duly elected as",,,
Member of the National Assembly for Mutoko East Constituency.,,,

ZIMBABWE ELECTORAL COMMISSION,,,
National Assembly Election 2018,,,
RESULTS OF POLL,,,
"In respect of Mutoko North Constituency, the results are as follows:",,,
Name of Candidate Sex Party Votes Received,,,
"Chinomona Mabel
Memory",F,ZANU PF,16 902
Kativhu Shamh,M,Free Zim Congress,262
Mushore Boniface,M,MDC-Alliance,3 151
"Accordingly, Chinomona Mabel Memory of ZANU PF Party, is hereby",,,
declared duly elected Member of the National Assembly for Mutoko North,,,
Constituency.,,,

ZIMBABWE ELECTORAL COMMISSION,,,
National Assembly Election 2018,,,
RESULTS OF POLL,,,
"In respect of Mutoko South Constituency, the results are as follows:",,,
Name of Candidate Sex Party Votes Received,,,
Chifeva Rangarirai Joel,M,NCA,223
Mapengo Mapango,M,MDC-Alliance,2 839
Mburundu Beaullah,F,MDC-T,265
Shumbamhini Hebert,M,ZANU PF,20 283
"Accordingly, Shumbamhini Hebert of ZANU PF Party, has been duly elected",,,
as Member of the National Assembly for Mutoko South Constituency.,,,

ZIMBABWE ELECTORAL COMMISSION,,,
National Assembly Election 2018,,,
RESULTS OF POLL,,,
"In respect of Mudzi West Constituency, the results are as follows:",,,
Name of Candidate Sex Party Votes Received,,,
Mudyiwa Magna,F,ZANU PF,14 289
Mutereko Gift,,,1 147
Danai,M,MDC-Alliance,
"Accordingly, Mudyiwa Magna of ZANU PF Party, has been duly elected as",,,
Member of the National Assembly for Mudzi West Constituency.,,,

ZIMBABWE ELECTORAL COMMISSION,,,
National Assembly Election 2018,,,
RESULTS OF POLL,,,
"In respect of Seke Constituency, the results are as follows:",,,
Name of Candidate Sex Party,,Votes Received,
"Chikwanha Kudakwashe
Lawrence",M,Independent.,578
Gandiwa Christopher,M,"United African National
Council.",729
Gava Leah Hazviperi,F,Coalition of Democrats,199
Gunguwo Rairo Chengetai,F,Independent.,346
Kaseke Charles,M,"Zimbabwe Partnership for
Prosperity.",505
"Kashambe Munyaradzi
Tobias",M,ZANU PF,18 050
Kunaka Tawineyi,M,MDC-Alliance.,16 369
Mabika Silas,M,NCA,189
Marembo Almighty,M,People’s Rainbow Coalition,291
"Accordingly, Kashambe Munyaradzi Tobias of ZANU PF Party, has been",,,
duly elected as Member of the National Assembly for Seke Constituency.,,,

ZIMBABWE ELECTORAL COMMISSION,,,
National Assembly Election 2018,,,
RESULTS OF POLL,,,
"In respect of Maramba Pfungwe Constituency, the results are as follows:",,,
Name of Candidate Sex Party Votes Received,,,
Chakwiza Admire,M,MDC-Alliance,929
Karumazondo,M,ZANU PF,24 317
Makuwi Tichawona,,,
Makope Tonderai,M,Coalition of Democrats,75
Sandi Wellington.,M,People’s Rainbow Coalition,83
"Accordingly, Karumazondo Makuwi Tichawona of ZANU PF Party, has",,,
been duly elected as Member of the National Assembly for Maramba Pfungwe,,,
Constituency.,,,

ZIMBABWE ELECTORAL COMMISSION,,,
National Assembly Election 2018,,,
RESULTS OF POLL,,,
"In respect of Wedza North Constituency, the results are as follows:",,,
Name of Candidate Sex Party Votes Received,,,
Dzinemunhenzva Egypt,M,"Forces of Liberation Organization
of African National",303
Makara Tichaona,M,MDC-Alliance Party,3 187
Musabayana David,M,ZANU PF,13 785
"Accordingly, Musabayana David of ZANU PF Party, has been duly elected as",,,
Member of the National Assembly for Wedza North Constituency.,,,

ZIMBABWE ELECTORAL COMMISSION,,,,,,
National Assembly Election 2018,,,,,,
,RESULTS OF POLL,,,,,
"In respect of Wedza South Constituency, the results are as follows:",,,,,,
Name of Candidate,Sex,,Party,,,Votes Received
Archibald Royc,M,,People’s Rainbow coalition,,,272
Gukwe Phanuel,M,,MDC Alliance,,,2101
Machakarika Tinoda,M,,ZANU PF,,,9525
"Accordingly, Machakarika",,Tinoda,of ZANU PF,"Party,",is,hereby declared
duly elected Member of,,the National Assembly for,,,,Wedza South
Constituency.,,,,,,

ZIMBABWE ELECTORAL COMMISSION,,,
National Assembly Election 2018,,,
RESULTS OF POLL,,,
"In respect of Uzumba Constituency, the results are as follows:",,,
Name of Candidate Sex Party Votes Received,,,
Kazingizi Peckson,M,MDC-Alliance,1850
Mudarikwa,M,ZANU PF,21405
Simbaneuta,,,
"Accordingly, Mudarikwa Simbaneuta of ZANU PF Party, has been duly",,,
elected as Member of the National Assembly for Uzumba Constituency.,,,
